Kab/Kota,Persentase Penduduk Miskin Menurut Kabupaten/Kota di Jawa Timur (Persen)
Kabupaten Pacitan,13.65
Kabupaten Ponorogo,9.53
Kabupaten Trenggalek,10.63
Kabupaten Tulungagung,6.53
Kabupaten Blitar,8.69
Kabupaten Kediri,10.72
Kabupaten Malang,9.45
Kabupaten Lumajang,8.93
Kabupaten Jember,9.51
Kabupaten Banyuwangi,7.34
Kabupaten Bondowoso,13.34
Kabupaten Situbondo,11.9
Kabupaten Probolinggo,17.19
Kabupaten Pasuruan,9.24
Kabupaten Sidoarjo,5
Kabupaten Mojokerto,9.8
Kabupaten Jombang,9.15
Kabupaten Nganjuk,10.89
Kabupaten Madiun,11.04
Kabupaten Magetan,9.8
Kabupaten Ngawi,14.4
Kabupaten Bojonegoro,12.18
Kabupaten Tuban,14.91
Kabupaten Lamongan,12.42
Kabupaten Gresik,10.96
Kabupaten Bangkalan,19.35
Kabupaten Sampang,21.76
Kabupaten Pamekasan,13.85
Kabupaten Sumenep,18.7
Kota Kediri,7.15
Kota Blitar,7.3
Kota Malang,4.26
Kota Probolinggo,6.48
Kota Pasuruan,6.6
Kota Mojokerto,5.77
Kota Madiun,4.74
Kota Surabaya,4.65
Kota Batu,3.31
Jawa Timur,10.35
